Original,Input,Jaccard Corrected,JaroDistance Corrected,Dice Coefficien Corrected,Cosine Corrected,Damerau-Levenshtein Corrected,Euclidien Distance Corrected,hamming Distance Corrected,Jaro-Winkler Corrected,Longest Common Corrected,Levenshtein Distance Corrected,Manhattan Corrected,Needleman Corrected,Smith Waterman Corrected,Jaccard Time,JaroDistance Time,Dice Coefficien Time,Cosine Time,Damerau-Levenshtein Time,Euclidien Distance Time,hamming Distance Time,Jaro-Winkler Time,Longest Common Time,Levenshtein Distance Time,Manhattan Time,Needleman Time,Smith Waterman Time,Jaccard Accuracy,JaroDistance Accuracy,Dice Coefficien Accuracy,Cosine Accuracy,Damerau-Levenshtein Accuracy,Euclidien Distance Accuracy,hamming Distance Accuracy,Jaro-Winkler Accuracy,Longest Common Accuracy,Levenshtein Distance Accuracy,Manhattan Accuracy,Needleman Accuracy,Smith Waterman Accuracy
turn on the tv,turn on the tea,turn on the the,on turn the on,turn on the the,turn on the turn,turn on the the,turn on the turn,turn on the tv,on turn the on,on the the on,turn on the the,turn on the turn,turn on the the,turn on the the,0.011738061904907227,0.011738061904907227,0.011738061904907227,0.011738061904907227,0.011738061904907227,0.011738061904907227,0.011738061904907227,0.011738061904907227,0.011738061904907227,0.013672351837158203,0.013672351837158203,0.013672351837158203,0.013672351837158203,0.8333333333333334,0.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.47140452079103173,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,7.333333333333333
turn off the light,turn off the flight,turn off the light,off turn the turn,turn off the light,turn off the turn,turn off the light,turn off the turn,turn off the off,off turn the turn,off turn the turn,turn off the light,turn off the turn,turn off the light,turn off the light,0.024705886840820312,0.024705886840820312,0.024705886840820312,0.024705886840820312,0.024705886840820312,0.024705886840820312,0.024705886840820312,0.024705886840820312,0.024705886840820312,0.027795791625976562,0.027795791625976562,0.027795791625976562,0.027795791625976562,0.9444444444444445,0.0,0.9696969696969697,0.6666666666666666,0.3333333333333333,0.47140452079103173,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.6666666666666665,12.0
lock the door,look the door,lock the door,the the the,lock the door,lock the door,lock the door,lock the door,lock the door,the the the,the the the,lock the door,lock the door,lock the door,lock the door,0.025477170944213867,0.025477170944213867,0.025477170944213867,0.026454448699951172,0.025477170944213867,0.026454448699951172,0.026454448699951172,0.026454448699951172,0.02656269073486328,0.029345273971557617,0.029345273971557617,0.030333757400512695,0.030333757400512695,0.875,0.0,0.9285714285714286,0.5,0.5,0.7071067811865476,0.5,0.0,0.0,0.5,1.0,3.0,9.5
unlock the door,unluck the door,unlock the door,the the the,unlock the door,unlock the door,unlock the door,unlock the door,unlock the door,the the the,the the the,unlock the door,unlock the door,unlock the door,unlock the door,0.04220771789550781,0.04220771789550781,0.04220771789550781,0.04220771789550781,0.04220771789550781,0.04220771789550781,0.04220771789550781,0.04220771789550781,0.04220771789550781,0.0431826114654541,0.0431826114654541,0.0431826114654541,0.0431826114654541,0.9166666666666667,0.0,0.9545454545454546,0.5,0.5,0.7071067811865476,0.5,0.0,0.0,0.5,1.0,4.0,12.5
turn on the lamp,turn on the lump,turn on the lamp,on turn the on,turn on the lamp,turn on the turn,turn on the lamp,turn on the turn,turn on the lamp,on turn the on,lamp the the on,turn on the lamp,turn on the turn,turn on the lamp,turn on the lamp,0.07700324058532715,0.07700324058532715,0.07700324058532715,0.07700324058532715,0.07700324058532715,0.07700324058532715,0.07700324058532715,0.07700324058532715,0.07700324058532715,0.08095622062683105,0.08095622062683105,0.08095622062683105,0.08095622062683105,0.8666666666666667,0.0,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.47140452079103173,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,8.333333333333334
lock the windows,look the windows,lock the windows,the the lock,lock the windows,lock the windows,lock the windows,lock the windows,lock the windows,the the lock,the the the,lock the windows,lock the windows,lock the windows,lock the windows,0.06674957275390625,0.06674957275390625,0.06674957275390625,0.06674957275390625,0.06674957275390625,0.06674957275390625,0.06674957275390625,0.06674957275390625,0.06674957275390625,0.06869387626647949,0.06869387626647949,0.06869387626647949,0.06869387626647949,0.875,0.0,0.9285714285714286,0.5,0.5,0.7071067811865476,0.5,0.0,0.0,0.5,1.0,4.5,14.0
unlock the windows,unluck the windows,unlock the windows,the the the,unlock the windows,unlock the windows,unlock the windows,unlock the windows,unlock the windows,the the the,the the the,unlock the windows,unlock the windows,unlock the windows,unlock the windows,0.07455301284790039,0.07455301284790039,0.07455301284790039,0.07455301284790039,0.07455301284790039,0.07455301284790039,0.07455301284790039,0.07455301284790039,0.07455301284790039,0.07653307914733887,0.07653307914733887,0.07653307914733887,0.07653307914733887,0.9166666666666667,0.0,0.9545454545454546,0.5,0.5,0.7071067811865476,0.5,0.0,0.0,0.5,1.0,5.5,17.0
turn on the fan,turn on the van,turn on the fan,on turn the on,turn on the fan,turn on the turn,turn on the fan,turn on the turn,turn on the fan,on turn the on,on the the the,turn on the fan,turn on the turn,turn on the fan,turn on the fan,0.12305808067321777,0.12305808067321777,0.12305808067321777,0.12305808067321777,0.12305808067321777,0.12305808067321777,0.12305808067321777,0.12305808067321777,0.12305808067321777,0.12403273582458496,0.12403273582458496,0.12403273582458496,0.12403273582458496,0.8333333333333334,0.0,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.47140452079103173,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.3333333333333335,8.0
turn off the fan,turn off the van,turn off the fan,off turn the off,turn off the fan,turn off the turn,turn off the fan,turn off the turn,turn off the fan,off turn the off,off turn the off,turn off the fan,turn off the turn,turn off the fan,turn off the fan,0.1417388916015625,0.1417388916015625,0.1417388916015625,0.14298415184020996,0.1417388916015625,0.14298415184020996,0.14298415184020996,0.14298415184020996,0.14298415184020996,0.1491560935974121,0.15024733543395996,0.15024733543395996,0.15024733543395996,0.8333333333333334,0.0,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.47140452079103173,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,9.0
turn on the heater,turn on the hater,turn on the heater,on turn the turn,turn on the heater,turn on the turn,turn on the heater,turn on the turn,turn on the on,on turn the turn,on the the on,turn on the heater,turn on the turn,turn on the heater,turn on the heater,0.16364645957946777,0.1637554168701172,0.1637554168701172,0.16474652290344238,0.1637554168701172,0.16474652290344238,0.16474652290344238,0.16474652290344238,0.16474652290344238,0.16572356224060059,0.16572356224060059,0.16572356224060059,0.16572356224060059,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.47140452079103173,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.3333333333333335,10.333333333333334
